"Accession","Description","Control.a.buffer16","Control.b.buffer16","Control.c.buffer16","Control.d.buffer16","Sample.a.buffer16","Sample.b.buffer16","Sample.c.buffer16","Sample.d.buffer16","idirt_a","idirt_b","idirt_c","idirt_d","median_ratio","median_Sample","median_Control","bf"
"1","A0A2R8YCH5","Catenin beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1",23925110.090332,17285423.2541504,30949790.3588867,18175131.421875,138151925.612671,102134629.193604,105644149.027588,121184084.049805,0.852384330780991,0.855255269949637,0.773417543282661,0.869580699343357,0.853819800365314,113414116.538696,21050120.7561035,10.7427418962971
"2","P35527","Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",22170022.8271484,8115561.26855469,11174763.6445313,12415672.5205078,1059370817.93555,477695902.575195,846341386.27832,443711941.47168,0.979501446462702,0.983294833752287,0.986968451095018,0.972780265566819,0.981398140107494,662018644.426757,11795218.0825195,24.6982883656731
"3","P42704","Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",364399.4453125,105231.70703125,238493.2890625,112341.98046875,3452481346.83984,2112244459.95117,3005864470.9209,3249549152.64648,0.999894464024145,0.999950182629587,0.999920663632649,0.999965429636085,0.999935423131118,3127706811.78369,175417.634765625,26.9847760250599
"4","P15924","Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3",9397213.15039063,6194301.3046875,7164467.859375,17239130.2880859,105999327.380859,33185028.0600586,73268107.0703125,53617831.7973633,0.918565902347429,0.842701706590441,0.910925792620241,0.756705201850221,0.876813749605341,63442969.4338379,8280840.50488282,12.3272344957524
"5","P04264","Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",7882783575.41943,5376765729.96436,6907708380.81555,7231926960.4248,2072991902.98804,814476470.658203,1486513407.81152,854665752.779541,0.20822003343527,0.131552997648243,0.177087697376012,0.105689229455563,0.154320347512128,1170589580.29553,7069817670.62017,13.2676578317794
"6","A0A669KB05","Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1",9010938.4375,2795896.94458008,5571706.73486328,4961466.5625,5097785.66259766,5885999.49609375,2719325.75561523,2370190.76025391,0.361321521806665,0.677962417118733,0.327983970481134,0.323281715976821,0.3446527461439,3908555.70910645,5266586.64868164,-0.154114956327314
"7","P35908","Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",41481873.3950195,22279722.8596191,25165451.9624023,59845026.6152344,1136331987.6958,489578199.078613,913782602.804688,536963115.253906,0.964780620465273,0.956472837667036,0.973198249003621,0.89972484888057,0.960626729066155,725372859.029297,33323662.6787109,21.1014553802602
"8","P13645","Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",36151158.8469238,18315921.5844727,24727902.6608887,26628959.270874,1436633932.82031,754369838.042236,1165672775.49048,697481183.959961,0.975453880507441,0.976295769196884,0.97922724414162,0.963225264112362,0.975874824852162,960021306.766358,25678430.9658814,23.8821817513223
"9","P05787","Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7",2341454.12304688,6166322.0078125,3101952.35644531,2813066.86328125,3457250418.24902,2115934015.24414,3010027403.45703,3255207314.8252,0.999323199322514,0.997094236356516,0.998970521345039,0.999136571741818,0.999053546543429,3132617359.14112,2957509.60986328,26.8276241953851
"10","P58107","Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3",725892.94921875,101191.1953125,271836.546875,156263.97265625,4675501.6171875,879337.0625,2133504.94140625,1772473.2109375,0.865610086377801,0.896799307407773,0.886986297704763,0.918981199727228,0.891892802556268,1952989.07617188,214050.259765625,15.4237370643535
